pod,hsagrp,hsagrp_lab,sex,age,urt
aae,walkin,Walk-in arrivals,f,17,0.23757309709326888
aae,walkin,Walk-in arrivals,f,18,0.2934476601084281
aae,walkin,Walk-in arrivals,f,19,0.3207921182654661
aae,walkin,Walk-in arrivals,f,20,0.3146900714559311
aae,walkin,Walk-in arrivals,f,21,0.29922435881174053
aae,walkin,Walk-in arrivals,f,22,0.29415121871461936
aae,walkin,Walk-in arrivals,f,23,0.2805639625009227
aae,walkin,Walk-in arrivals,f,24,0.2750425336997775
aae,walkin,Walk-in arrivals,f,25,0.27059342174796464
aae,walkin,Walk-in arrivals,f,26,0.26359012159508444
aae,walkin,Walk-in arrivals,f,27,0.2643909717293754
aae,walkin,Walk-in arrivals,f,28,0.2588795382721618
aae,walkin,Walk-in arrivals,f,29,0.2544351753052888
aae,walkin,Walk-in arrivals,f,30,0.24782719173606862
aae,walkin,Walk-in arrivals,f,31,0.24216989634970706
aae,walkin,Walk-in arrivals,f,32,0.24477967012471405
aae,walkin,Walk-in arrivals,f,33,0.23732997257643243
aae,walkin,Walk-in arrivals,f,34,0.22780645293960394
aae,walkin,Walk-in arrivals,f,35,0.22049708916458502
aae,walkin,Walk-in arrivals,f,36,0.2119279947484184
aae,walkin,Walk-in arrivals,f,37,0.20611184205363753
aae,walkin,Walk-in arrivals,f,38,0.2001054167154707
aae,walkin,Walk-in arrivals,f,39,0.1922903260728931
aae,walkin,Walk-in arrivals,f,40,0.18701122336827866
aae,walkin,Walk-in arrivals,f,41,0.18259108885343106
aae,walkin,Walk-in arrivals,f,42,0.1785654128372759
aae,walkin,Walk-in arrivals,f,43,0.17512242090784044
aae,walkin,Walk-in arrivals,f,44,0.17338377196223015
aae,walkin,Walk-in arrivals,f,45,0.17158211573584542
aae,walkin,Walk-in arrivals,f,46,0.16945145992161614
aae,walkin,Walk-in arrivals,f,47,0.16947293052475979
aae,walkin,Walk-in arrivals,f,48,0.16660660012997075
aae,walkin,Walk-in arrivals,f,49,0.16551788121394698
aae,walkin,Walk-in arrivals,f,50,0.1650923345770557
aae,walkin,Walk-in arrivals,f,51,0.16236966608698294
aae,walkin,Walk-in arrivals,f,52,0.16400247444974683
aae,walkin,Walk-in arrivals,f,53,0.1611811233897529
aae,walkin,Walk-in arrivals,f,54,0.16080518691839177
aae,walkin,Walk-in arrivals,f,55,0.1557301130180839
aae,walkin,Walk-in arrivals,f,56,0.15495425983640454
aae,walkin,Walk-in arrivals,f,57,0.15380626582692705
aae,walkin,Walk-in arrivals,f,58,0.1511638577065427
aae,walkin,Walk-in arrivals,f,59,0.15115531560159512
aae,walkin,Walk-in arrivals,f,60,0.14884471436012264
aae,walkin,Walk-in arrivals,f,61,0.1478863022565453
aae,walkin,Walk-in arrivals,f,62,0.1477938925734276
aae,walkin,Walk-in arrivals,f,63,0.14775668808847706
aae,walkin,Walk-in arrivals,f,64,0.14368428792000587
aae,walkin,Walk-in arrivals,f,65,0.14476428603320599
aae,walkin,Walk-in arrivals,f,66,0.14108508580374327
aae,walkin,Walk-in arrivals,f,67,0.14228343522722567
aae,walkin,Walk-in arrivals,f,68,0.1416835731237277
aae,walkin,Walk-in arrivals,f,69,0.14141083453900935
aae,walkin,Walk-in arrivals,f,70,0.14337438477206665
aae,walkin,Walk-in arrivals,f,71,0.14509755629362145
aae,walkin,Walk-in arrivals,f,72,0.145357572650303
aae,walkin,Walk-in arrivals,f,73,0.14708020864433868
aae,walkin,Walk-in arrivals,f,74,0.15194050070082019
aae,walkin,Walk-in arrivals,f,75,0.1507355589590361
aae,walkin,Walk-in arrivals,f,76,0.1619127551124849
aae,walkin,Walk-in arrivals,f,77,0.16418619379354021
aae,walkin,Walk-in arrivals,f,78,0.1677062857642074
aae,walkin,Walk-in arrivals,f,79,0.17226912765420457
aae,walkin,Walk-in arrivals,f,80,0.17516834240383727
aae,walkin,Walk-in arrivals,f,81,0.18015866665846048
aae,walkin,Walk-in arrivals,f,82,0.18215913926205093
aae,walkin,Walk-in arrivals,f,83,0.18282184565051254
aae,walkin,Walk-in arrivals,f,84,0.18371337261829312
aae,walkin,Walk-in arrivals,f,85,0.1829333057960966
aae,walkin,Walk-in arrivals,f,86,0.18125269346169795
aae,walkin,Walk-in arrivals,f,87,0.17676478864290318
aae,walkin,Walk-in arrivals,f,88,0.17684362540420054
aae,walkin,Walk-in arrivals,f,89,0.17403888355100056
aae,walkin,Walk-in arrivals,f,90,0.13975367298117858
aae,walkin,Walk-in arrivals,m,17,0.18764789826405823
aae,walkin,Walk-in arrivals,m,18,0.20963530571752018
aae,walkin,Walk-in arrivals,m,19,0.22546742718416538
aae,walkin,Walk-in arrivals,m,20,0.22941394139724927
aae,walkin,Walk-in arrivals,m,21,0.22355789448389385
aae,walkin,Walk-in arrivals,m,22,0.21591690701747288
aae,walkin,Walk-in arrivals,m,23,0.207210493052056
aae,walkin,Walk-in arrivals,m,24,0.2060537199722261
aae,walkin,Walk-in arrivals,m,25,0.20132094194470823
aae,walkin,Walk-in arrivals,m,26,0.19618827560316612
aae,walkin,Walk-in arrivals,m,27,0.1992217278703765
aae,walkin,Walk-in arrivals,m,28,0.1958484408992023
aae,walkin,Walk-in arrivals,m,29,0.1984631126254337
aae,walkin,Walk-in arrivals,m,30,0.19994949546479476
aae,walkin,Walk-in arrivals,m,31,0.19245396366741635
aae,walkin,Walk-in arrivals,m,32,0.19582892641048877
aae,walkin,Walk-in arrivals,m,33,0.1972792801159905
aae,walkin,Walk-in arrivals,m,34,0.19594789562636547
aae,walkin,Walk-in arrivals,m,35,0.19428267368297208
aae,walkin,Walk-in arrivals,m,36,0.18600844634472627
aae,walkin,Walk-in arrivals,m,37,0.1822381646891876
aae,walkin,Walk-in arrivals,m,38,0.1830480913858287
aae,walkin,Walk-in arrivals,m,39,0.18125688727555583
aae,walkin,Walk-in arrivals,m,40,0.17680167961460005
aae,walkin,Walk-in arrivals,m,41,0.17401067045295643
aae,walkin,Walk-in arrivals,m,42,0.17186467449994358
aae,walkin,Walk-in arrivals,m,43,0.16874886786406007
aae,walkin,Walk-in arrivals,m,44,0.16629452988704904
aae,walkin,Walk-in arrivals,m,45,0.16363185028440996
aae,walkin,Walk-in arrivals,m,46,0.16416305487435146
aae,walkin,Walk-in arrivals,m,47,0.16344336577177268
aae,walkin,Walk-in arrivals,m,48,0.16287255426530348
aae,walkin,Walk-in arrivals,m,49,0.15814746144708064
aae,walkin,Walk-in arrivals,m,50,0.1585628416612641
aae,walkin,Walk-in arrivals,m,51,0.15641901582913917
aae,walkin,Walk-in arrivals,m,52,0.15753939286984375
aae,walkin,Walk-in arrivals,m,53,0.15548285795920722
aae,walkin,Walk-in arrivals,m,54,0.15521737530296897
aae,walkin,Walk-in arrivals,m,55,0.1510808690451223
aae,walkin,Walk-in arrivals,m,56,0.15232103010571751
aae,walkin,Walk-in arrivals,m,57,0.15334318260125082
aae,walkin,Walk-in arrivals,m,58,0.1513328032586386
aae,walkin,Walk-in arrivals,m,59,0.15203419155733214
aae,walkin,Walk-in arrivals,m,60,0.15145685053380784
aae,walkin,Walk-in arrivals,m,61,0.15212683837878627
aae,walkin,Walk-in arrivals,m,62,0.15490463091298953
aae,walkin,Walk-in arrivals,m,63,0.1508736894658013
aae,walkin,Walk-in arrivals,m,64,0.15200988536434673
aae,walkin,Walk-in arrivals,m,65,0.15090715262692092
aae,walkin,Walk-in arrivals,m,66,0.14794063780111008
aae,walkin,Walk-in arrivals,m,67,0.14827722685195366
aae,walkin,Walk-in arrivals,m,68,0.1472320028404888
aae,walkin,Walk-in arrivals,m,69,0.14783785209807868
aae,walkin,Walk-in arrivals,m,70,0.14832680844366627
aae,walkin,Walk-in arrivals,m,71,0.14974778696392385
aae,walkin,Walk-in arrivals,m,72,0.15009433220658752
aae,walkin,Walk-in arrivals,m,73,0.15409459417643964
aae,walkin,Walk-in arrivals,m,74,0.15788552815262913
aae,walkin,Walk-in arrivals,m,75,0.15718371928946537
aae,walkin,Walk-in arrivals,m,76,0.17137876810558306
aae,walkin,Walk-in arrivals,m,77,0.17506557584858562
aae,walkin,Walk-in arrivals,m,78,0.17675628707326507
aae,walkin,Walk-in arrivals,m,79,0.18465129589208662
aae,walkin,Walk-in arrivals,m,80,0.18936931398261575
aae,walkin,Walk-in arrivals,m,81,0.1966645402351226
aae,walkin,Walk-in arrivals,m,82,0.19731156619906887
aae,walkin,Walk-in arrivals,m,83,0.2077460809479989
aae,walkin,Walk-in arrivals,m,84,0.20765436448515812
aae,walkin,Walk-in arrivals,m,85,0.2163016886449072
aae,walkin,Walk-in arrivals,m,86,0.2144787644787645
aae,walkin,Walk-in arrivals,m,87,0.21293740597815422
aae,walkin,Walk-in arrivals,m,88,0.21755076341885723
aae,walkin,Walk-in arrivals,m,89,0.21988367324111704
aae,walkin,Walk-in arrivals,m,90,0.19288667873841248
aae,amb,Ambulance arrivals,f,17,0.03877441466738242
aae,amb,Ambulance arrivals,f,18,0.05172374961792764
aae,amb,Ambulance arrivals,f,19,0.055053139906047724
aae,amb,Ambulance arrivals,f,20,0.0531990067493495
aae,amb,Ambulance arrivals,f,21,0.04992833405210685
aae,amb,Ambulance arrivals,f,22,0.046820482920102546
aae,amb,Ambulance arrivals,f,23,0.04553332841219458
aae,amb,Ambulance arrivals,f,24,0.04616324215853073
aae,amb,Ambulance arrivals,f,25,0.04171670957404419
aae,amb,Ambulance arrivals,f,26,0.041947772069704764
aae,amb,Ambulance arrivals,f,27,0.04221873271155469
aae,amb,Ambulance arrivals,f,28,0.04099627998228304
aae,amb,Ambulance arrivals,f,29,0.04052823315118397
aae,amb,Ambulance arrivals,f,30,0.03983654673871333
aae,amb,Ambulance arrivals,f,31,0.04055368921299521
aae,amb,Ambulance arrivals,f,32,0.04036707298940674
aae,amb,Ambulance arrivals,f,33,0.04045954697623204
aae,amb,Ambulance arrivals,f,34,0.03978335972362171
aae,amb,Ambulance arrivals,f,35,0.04326536158115325
aae,amb,Ambulance arrivals,f,36,0.04278155983481579
aae,amb,Ambulance arrivals,f,37,0.0415974596332267
aae,amb,Ambulance arrivals,f,38,0.041727449873819385
aae,amb,Ambulance arrivals,f,39,0.041244299863487176
aae,amb,Ambulance arrivals,f,40,0.04238882313155225
aae,amb,Ambulance arrivals,f,41,0.04278898560798749
aae,amb,Ambulance arrivals,f,42,0.04203644632536399
aae,amb,Ambulance arrivals,f,43,0.04128748280605227
aae,amb,Ambulance arrivals,f,44,0.041824656805520666
aae,amb,Ambulance arrivals,f,45,0.04257485821397674
aae,amb,Ambulance arrivals,f,46,0.04432246171215538
aae,amb,Ambulance arrivals,f,47,0.04584719142645972
aae,amb,Ambulance arrivals,f,48,0.04573664749267141
aae,amb,Ambulance arrivals,f,49,0.04649988812303192
aae,amb,Ambulance arrivals,f,50,0.04791742103412627
aae,amb,Ambulance arrivals,f,51,0.04762013249190594
aae,amb,Ambulance arrivals,f,52,0.04851688967904931
aae,amb,Ambulance arrivals,f,53,0.04875058814552946
aae,amb,Ambulance arrivals,f,54,0.05022594530873238
aae,amb,Ambulance arrivals,f,55,0.050546869859651074
aae,amb,Ambulance arrivals,f,56,0.05137069200278375
aae,amb,Ambulance arrivals,f,57,0.05158508404947818
aae,amb,Ambulance arrivals,f,58,0.052891036817259554
aae,amb,Ambulance arrivals,f,59,0.05406803844606001
aae,amb,Ambulance arrivals,f,60,0.057066224205422296
aae,amb,Ambulance arrivals,f,61,0.0600350422962748
aae,amb,Ambulance arrivals,f,62,0.06195758326652576
aae,amb,Ambulance arrivals,f,63,0.06412494395456583
aae,amb,Ambulance arrivals,f,64,0.06748891012915717
aae,amb,Ambulance arrivals,f,65,0.06899520981764139
aae,amb,Ambulance arrivals,f,66,0.0728675368359475
aae,amb,Ambulance arrivals,f,67,0.07646182084155614
aae,amb,Ambulance arrivals,f,68,0.07920488559294303
aae,amb,Ambulance arrivals,f,69,0.08382352423496778
aae,amb,Ambulance arrivals,f,70,0.09016577629261291
aae,amb,Ambulance arrivals,f,71,0.0989072680978062
aae,amb,Ambulance arrivals,f,72,0.10649918466457314
aae,amb,Ambulance arrivals,f,73,0.11542176715432305
aae,amb,Ambulance arrivals,f,74,0.12629852928355387
aae,amb,Ambulance arrivals,f,75,0.13303954823494038
aae,amb,Ambulance arrivals,f,76,0.1546867003746085
aae,amb,Ambulance arrivals,f,77,0.17154630881673313
aae,amb,Ambulance arrivals,f,78,0.18497794085528327
aae,amb,Ambulance arrivals,f,79,0.20635056691286066
aae,amb,Ambulance arrivals,f,80,0.23492514799481273
aae,amb,Ambulance arrivals,f,81,0.2645880390696644
aae,amb,Ambulance arrivals,f,82,0.2857820193301319
aae,amb,Ambulance arrivals,f,83,0.31618339028226033
aae,amb,Ambulance arrivals,f,84,0.3421567173235885
aae,amb,Ambulance arrivals,f,85,0.3749465236697302
aae,amb,Ambulance arrivals,f,86,0.40682858606474065
aae,amb,Ambulance arrivals,f,87,0.44472583031524293
aae,amb,Ambulance arrivals,f,88,0.4884521604453793
aae,amb,Ambulance arrivals,f,89,0.5281899813767007
aae,amb,Ambulance arrivals,f,90,0.6220534282082735
aae,amb,Ambulance arrivals,m,17,0.024259831283079535
aae,amb,Ambulance arrivals,m,18,0.032531557741232606
aae,amb,Ambulance arrivals,m,19,0.0353349559358143
aae,amb,Ambulance arrivals,m,20,0.03438239492022426
aae,amb,Ambulance arrivals,m,21,0.03388242079083012
aae,amb,Ambulance arrivals,m,22,0.03168006658536163
aae,amb,Ambulance arrivals,m,23,0.03136389073728113
aae,amb,Ambulance arrivals,m,24,0.03161338306286724
aae,amb,Ambulance arrivals,m,25,0.03122565913722645
aae,amb,Ambulance arrivals,m,26,0.030336757839969967
aae,amb,Ambulance arrivals,m,27,0.032339464771897204
aae,amb,Ambulance arrivals,m,28,0.03124935253289133
aae,amb,Ambulance arrivals,m,29,0.033165915276421584
aae,amb,Ambulance arrivals,m,30,0.033141688177857585
aae,amb,Ambulance arrivals,m,31,0.03330404087043298
aae,amb,Ambulance arrivals,m,32,0.035054284033855264
aae,amb,Ambulance arrivals,m,33,0.03629604404336228
aae,amb,Ambulance arrivals,m,34,0.0370841749453811
aae,amb,Ambulance arrivals,m,35,0.039961388928997345
aae,amb,Ambulance arrivals,m,36,0.03943551137108832
aae,amb,Ambulance arrivals,m,37,0.03921321297646734
aae,amb,Ambulance arrivals,m,38,0.04047047982980338
aae,amb,Ambulance arrivals,m,39,0.04182872020915711
aae,amb,Ambulance arrivals,m,40,0.0422968838158066
aae,amb,Ambulance arrivals,m,41,0.04248012735701916
aae,amb,Ambulance arrivals,m,42,0.04322808374836807
aae,amb,Ambulance arrivals,m,43,0.04430448534841919
aae,amb,Ambulance arrivals,m,44,0.042200310808638335
aae,amb,Ambulance arrivals,m,45,0.04417663388156799
aae,amb,Ambulance arrivals,m,46,0.04781306099772091
aae,amb,Ambulance arrivals,m,47,0.04935612241304425
aae,amb,Ambulance arrivals,m,48,0.04836661798094026
aae,amb,Ambulance arrivals,m,49,0.049705232538774964
aae,amb,Ambulance arrivals,m,50,0.05187515173828714
aae,amb,Ambulance arrivals,m,51,0.05299762693300649
aae,amb,Ambulance arrivals,m,52,0.05456844987419416
aae,amb,Ambulance arrivals,m,53,0.056415781320038064
aae,amb,Ambulance arrivals,m,54,0.05738403057817782
aae,amb,Ambulance arrivals,m,55,0.05849302335215695
aae,amb,Ambulance arrivals,m,56,0.06030549908810142
aae,amb,Ambulance arrivals,m,57,0.06112636645541205
aae,amb,Ambulance arrivals,m,58,0.06446747304939997
aae,amb,Ambulance arrivals,m,59,0.0667830973081742
aae,amb,Ambulance arrivals,m,60,0.0702568950177936
aae,amb,Ambulance arrivals,m,61,0.0738878657604029
aae,amb,Ambulance arrivals,m,62,0.07564016632344511
aae,amb,Ambulance arrivals,m,63,0.07832938092860708
aae,amb,Ambulance arrivals,m,64,0.08190638995329422
aae,amb,Ambulance arrivals,m,65,0.08574033845576207
aae,amb,Ambulance arrivals,m,66,0.09012331007871154
aae,amb,Ambulance arrivals,m,67,0.09450515622595043
aae,amb,Ambulance arrivals,m,68,0.09838891025830696
aae,amb,Ambulance arrivals,m,69,0.10434615471587183
aae,amb,Ambulance arrivals,m,70,0.11343471503610002
aae,amb,Ambulance arrivals,m,71,0.11954542402205728
aae,amb,Ambulance arrivals,m,72,0.12674318056756545
aae,amb,Ambulance arrivals,m,73,0.13553625027075533
aae,amb,Ambulance arrivals,m,74,0.14646067938576082
aae,amb,Ambulance arrivals,m,75,0.15403142562220437
aae,amb,Ambulance arrivals,m,76,0.17404877958801585
aae,amb,Ambulance arrivals,m,77,0.1910085516757189
aae,amb,Ambulance arrivals,m,78,0.20850431192522312
aae,amb,Ambulance arrivals,m,79,0.22964700337229332
aae,amb,Ambulance arrivals,m,80,0.25736279979332494
aae,amb,Ambulance arrivals,m,81,0.2830887937057626
aae,amb,Ambulance arrivals,m,82,0.3065605696375863
aae,amb,Ambulance arrivals,m,83,0.3361828191343375
aae,amb,Ambulance arrivals,m,84,0.36288205760591913
aae,amb,Ambulance arrivals,m,85,0.4057222984664956
aae,amb,Ambulance arrivals,m,86,0.4400635930047695
aae,amb,Ambulance arrivals,m,87,0.4770881025573942
aae,amb,Ambulance arrivals,m,88,0.528159924445144
aae,amb,Ambulance arrivals,m,89,0.5708586555311137
aae,amb,Ambulance arrivals,m,90,0.6701224291235373
apc,emer_n,Unplanned admissions,f,17,0.05760733877346175
apc,emer_n,Unplanned admissions,f,18,0.06974147777545406
apc,emer_n,Unplanned admissions,f,19,0.0763058149817388
apc,emer_n,Unplanned admissions,f,20,0.07785856744726657
apc,emer_n,Unplanned admissions,f,21,0.07744361855957786
apc,emer_n,Unplanned admissions,f,22,0.07789222990378
apc,emer_n,Unplanned admissions,f,23,0.07794788514062154
apc,emer_n,Unplanned admissions,f,24,0.08019601855487211
apc,emer_n,Unplanned admissions,f,25,0.08035878291881321
apc,emer_n,Unplanned admissions,f,26,0.08153228937491912
apc,emer_n,Unplanned admissions,f,27,0.08511642982078693
apc,emer_n,Unplanned admissions,f,28,0.08427783016176235
apc,emer_n,Unplanned admissions,f,29,0.08638622131686445
apc,emer_n,Unplanned admissions,f,30,0.08643265331521796
apc,emer_n,Unplanned admissions,f,31,0.08562671555573764
apc,emer_n,Unplanned admissions,f,32,0.08722157153775724
apc,emer_n,Unplanned admissions,f,33,0.0854592469086516
apc,emer_n,Unplanned admissions,f,34,0.08446605934730304
apc,emer_n,Unplanned admissions,f,35,0.08236305486166999
apc,emer_n,Unplanned admissions,f,36,0.07910587115317723
apc,emer_n,Unplanned admissions,f,37,0.0778431993136406
apc,emer_n,Unplanned admissions,f,38,0.07620084546335439
apc,emer_n,Unplanned admissions,f,39,0.07389911781558359
apc,emer_n,Unplanned admissions,f,40,0.07307078542441664
apc,emer_n,Unplanned admissions,f,41,0.07262094714503126
apc,emer_n,Unplanned admissions,f,42,0.07148722483656002
apc,emer_n,Unplanned admissions,f,43,0.07035488308115544
apc,emer_n,Unplanned admissions,f,44,0.06980036351277466
apc,emer_n,Unplanned admissions,f,45,0.07032827069114679
apc,emer_n,Unplanned admissions,f,46,0.07101002290361372
apc,emer_n,Unplanned admissions,f,47,0.07281561807095344
apc,emer_n,Unplanned admissions,f,48,0.07334833577856163
apc,emer_n,Unplanned admissions,f,49,0.07441728471869764
apc,emer_n,Unplanned admissions,f,50,0.07633673913842053
apc,emer_n,Unplanned admissions,f,51,0.076065137212911
apc,emer_n,Unplanned admissions,f,52,0.0774435191250013
apc,emer_n,Unplanned admissions,f,53,0.07849231277897173
apc,emer_n,Unplanned admissions,f,54,0.0793245370736574
apc,emer_n,Unplanned admissions,f,55,0.07919363900009617
apc,emer_n,Unplanned admissions,f,56,0.0812480458309379
apc,emer_n,Unplanned admissions,f,57,0.0827581519687061
apc,emer_n,Unplanned admissions,f,58,0.08462310994198555
apc,emer_n,Unplanned admissions,f,59,0.08596791980473834
apc,emer_n,Unplanned admissions,f,60,0.08855400013961155
apc,emer_n,Unplanned admissions,f,61,0.09215063723411379
apc,emer_n,Unplanned admissions,f,62,0.0959755119889221
apc,emer_n,Unplanned admissions,f,63,0.09872963682558661
apc,emer_n,Unplanned admissions,f,64,0.10163774722446879
apc,emer_n,Unplanned admissions,f,65,0.10482590142812494
apc,emer_n,Unplanned admissions,f,66,0.10870800801699124
apc,emer_n,Unplanned admissions,f,67,0.11340583210278633
apc,emer_n,Unplanned admissions,f,68,0.11810638495744395
apc,emer_n,Unplanned admissions,f,69,0.12227490821021357
apc,emer_n,Unplanned admissions,f,70,0.1303485868785201
apc,emer_n,Unplanned admissions,f,71,0.1384766947848039
apc,emer_n,Unplanned admissions,f,72,0.1472054289234012
apc,emer_n,Unplanned admissions,f,73,0.1546321501958236
apc,emer_n,Unplanned admissions,f,74,0.16486711241960686
apc,emer_n,Unplanned admissions,f,75,0.17012913389772646
apc,emer_n,Unplanned admissions,f,76,0.19303187242840475
apc,emer_n,Unplanned admissions,f,77,0.20866354004416068
apc,emer_n,Unplanned admissions,f,78,0.2196610317564321
apc,emer_n,Unplanned admissions,f,79,0.23827483249760711
apc,emer_n,Unplanned admissions,f,80,0.2603677759269006
apc,emer_n,Unplanned admissions,f,81,0.2881664707439115
apc,emer_n,Unplanned admissions,f,82,0.30624278159382406
apc,emer_n,Unplanned admissions,f,83,0.3293016440449949
apc,emer_n,Unplanned admissions,f,84,0.35325449372294665
apc,emer_n,Unplanned admissions,f,85,0.3776609084337705
apc,emer_n,Unplanned admissions,f,86,0.39902262914386544
apc,emer_n,Unplanned admissions,f,87,0.43118300066261833
apc,emer_n,Unplanned admissions,f,88,0.4622275243566802
apc,emer_n,Unplanned admissions,f,89,0.4943833552779854
apc,emer_n,Unplanned admissions,f,90,0.5463431149988621
apc,emer_n,Unplanned admissions,m,17,0.03517645429529676
apc,emer_n,Unplanned admissions,m,18,0.04010602427237648
apc,emer_n,Unplanned admissions,m,19,0.04306399370777053
apc,emer_n,Unplanned admissions,m,20,0.04270357506009223
apc,emer_n,Unplanned admissions,m,21,0.04232899590287039
apc,emer_n,Unplanned admissions,m,22,0.04121992243267769
apc,emer_n,Unplanned admissions,m,23,0.04054893073215822
apc,emer_n,Unplanned admissions,m,24,0.04172395717551616
apc,emer_n,Unplanned admissions,m,25,0.04149550260880699
apc,emer_n,Unplanned admissions,m,26,0.04106499865169965
apc,emer_n,Unplanned admissions,m,27,0.04380636164419948
apc,emer_n,Unplanned admissions,m,28,0.04290894022583653
apc,emer_n,Unplanned admissions,m,29,0.04538206635780026
apc,emer_n,Unplanned admissions,m,30,0.04725489996020855
apc,emer_n,Unplanned admissions,m,31,0.04775167935179255
apc,emer_n,Unplanned admissions,m,32,0.04952329505726265
apc,emer_n,Unplanned admissions,m,33,0.051519795262345916
apc,emer_n,Unplanned admissions,m,34,0.05284378993363288
apc,emer_n,Unplanned admissions,m,35,0.05430149791703433
apc,emer_n,Unplanned admissions,m,36,0.05286047792671091
apc,emer_n,Unplanned admissions,m,37,0.05401605634172941
apc,emer_n,Unplanned admissions,m,38,0.0553382928845346
apc,emer_n,Unplanned admissions,m,39,0.05755871740022903
apc,emer_n,Unplanned admissions,m,40,0.05873225988455362
apc,emer_n,Unplanned admissions,m,41,0.05935439457011628
apc,emer_n,Unplanned admissions,m,42,0.060503736655760254
apc,emer_n,Unplanned admissions,m,43,0.06150180445051347
apc,emer_n,Unplanned admissions,m,44,0.060560050967853336
apc,emer_n,Unplanned admissions,m,45,0.06260046680168194
apc,emer_n,Unplanned admissions,m,46,0.0656156375921119
apc,emer_n,Unplanned admissions,m,47,0.06742519398499772
apc,emer_n,Unplanned admissions,m,48,0.0692455640554728
apc,emer_n,Unplanned admissions,m,49,0.07082190716212765
apc,emer_n,Unplanned admissions,m,50,0.07386152930850028
apc,emer_n,Unplanned admissions,m,51,0.07617023495971002
apc,emer_n,Unplanned admissions,m,52,0.07948094730058905
apc,emer_n,Unplanned admissions,m,53,0.08134965883682098
apc,emer_n,Unplanned admissions,m,54,0.08443173274588461
apc,emer_n,Unplanned admissions,m,55,0.08660157372668732
apc,emer_n,Unplanned admissions,m,56,0.08939480243939402
apc,emer_n,Unplanned admissions,m,57,0.09374902116374495
apc,emer_n,Unplanned admissions,m,58,0.09660743390135856
apc,emer_n,Unplanned admissions,m,59,0.0995102319753977
apc,emer_n,Unplanned admissions,m,60,0.10463745551601424
apc,emer_n,Unplanned admissions,m,61,0.10946286236335934
apc,emer_n,Unplanned admissions,m,62,0.1149463634185473
apc,emer_n,Unplanned admissions,m,63,0.11778582126809785
apc,emer_n,Unplanned admissions,m,64,0.12253306058947247
apc,emer_n,Unplanned admissions,m,65,0.12949888701155898
apc,emer_n,Unplanned admissions,m,66,0.1338131055405651
apc,emer_n,Unplanned admissions,m,67,0.14038347369115417
apc,emer_n,Unplanned admissions,m,68,0.1472320028404888
apc,emer_n,Unplanned admissions,m,69,0.1541166361395654
apc,emer_n,Unplanned admissions,m,70,0.16360882138852276
apc,emer_n,Unplanned admissions,m,71,0.16992877993671962
apc,emer_n,Unplanned admissions,m,72,0.18110997563084663
apc,emer_n,Unplanned admissions,m,73,0.18938561747686977
apc,emer_n,Unplanned admissions,m,74,0.20289250814332246
apc,emer_n,Unplanned admissions,m,75,0.20725201319306147
apc,emer_n,Unplanned admissions,m,76,0.23086145914513517
apc,emer_n,Unplanned admissions,m,77,0.2502852183748891
apc,emer_n,Unplanned admissions,m,78,0.26261809451579365
apc,emer_n,Unplanned admissions,m,79,0.28108429611092095
apc,emer_n,Unplanned admissions,m,80,0.3069844405056999
apc,emer_n,Unplanned admissions,m,81,0.33312828457729576
apc,emer_n,Unplanned admissions,m,82,0.3529196969235919
apc,emer_n,Unplanned admissions,m,83,0.38049111251029205
apc,emer_n,Unplanned admissions,m,84,0.400598960627147
apc,emer_n,Unplanned admissions,m,85,0.4380034608270183
apc,emer_n,Unplanned admissions,m,86,0.46637519872813993
apc,emer_n,Unplanned admissions,m,87,0.4958336058604225
apc,emer_n,Unplanned admissions,m,88,0.5378718715567449
apc,emer_n,Unplanned admissions,m,89,0.5714179187949741
apc,emer_n,Unplanned admissions,m,90,0.6346369017053594
apc,emer_bds,Unplanned bed days,f,17,0.14982799749699036
apc,emer_bds,Unplanned bed days,f,18,0.1488972185132157
apc,emer_bds,Unplanned bed days,f,19,0.14271343898855018
apc,emer_bds,Unplanned bed days,f,20,0.15354439909656456
