Variante,mw,Simulationsjahr,Bev,Bev_0_1,Bev_1_2,Bev_2_3,Bev_3_4,Bev_4_5,Bev_5_6,Bev_6_7,Bev_7_8,Bev_8_9,Bev_9_10,Bev_10_11,Bev_11_12,Bev_12_13,Bev_13_14,Bev_14_15,Bev_15_16,Bev_16_17,Bev_17_18,Bev_18_19,Bev_19_20,Bev_20_21,Bev_21_22,Bev_22_23,Bev_23_24,Bev_24_25,Bev_25_26,Bev_26_27,Bev_27_28,Bev_28_29,Bev_29_30,Bev_30_31,Bev_31_32,Bev_32_33,Bev_33_34,Bev_34_35,Bev_35_36,Bev_36_37,Bev_37_38,Bev_38_39,Bev_39_40,Bev_40_41,Bev_41_42,Bev_42_43,Bev_43_44,Bev_44_45,Bev_45_46,Bev_46_47,Bev_47_48,Bev_48_49,Bev_49_50,Bev_50_51,Bev_51_52,Bev_52_53,Bev_53_54,Bev_54_55,Bev_55_56,Bev_56_57,Bev_57_58,Bev_58_59,Bev_59_60,Bev_60_61,Bev_61_62,Bev_62_63,Bev_63_64,Bev_64_65,Bev_65_66,Bev_66_67,Bev_67_68,Bev_68_69,Bev_69_70,Bev_70_71,Bev_71_72,Bev_72_73,Bev_73_74,Bev_74_75,Bev_75_76,Bev_76_77,Bev_77_78,Bev_78_79,Bev_79_80,Bev_80_81,Bev_81_82,Bev_82_83,Bev_83_84,Bev_84_85,Bev_85_86,Bev_86_87,Bev_87_88,Bev_88_89,Bev_89_90,Bev_90_91,Bev_91_92,Bev_92_93,Bev_93_94,Bev_94_95,Bev_95_96,Bev_96_97,Bev_97_98,Bev_98_99,Bev_99_100,Bev_100_101
0,m,2010,186154,2291,2324,2408,2433,2440,2472,2660,2590,2517,2366,2323,2273,2111,1916,1918,1886,1837,1859,2411,4411,4239,4546,4690,4355,4196,4057,3904,4042,3792,3696,3431,3132,3157,2959,2832,2595,2429,2416,2328,2295,2080,1891,2018,2017,2117,2040,2043,2060,2032,2041,2108,2063,1897,1910,1906,2015,1875,1807,1751,1788,1654,1466,1477,1415,1435,1361,1283,1305,1285,1305,1299,1360,1156,1176,1102,1030,893,789,826,836,759,674,642,547,478,468,390,348,294,288,202.945,166.141,130.098,97.426,71.972,51.897,36.949,25.843,16.963,6.788,9.978
0,w,2010,180631,2140,2241,2256,2296,2239,2427,2423,2243,2273,2200,2192,2055,1997,1903,1961,1816,1795,1913,2163,3544,3371,3848,4286,3783,3786,3681,3712,3619,3543,3331,2987,2963,2806,2499,2512,2444,2359,2281,2359,2098,2015,1937,2005,1935,2036,2023,2087,2030,2097,2061,2121,2068,2066,1991,1944,1909,1864,1850,1710,1647,1614,1603,1536,1478,1402,1455,1330,1328,1447,1370,1470,1477,1247,1280,1292,1234,994,1015,986,951,900,849,862,766,689,612,532,499,524,426,349.611,298.786,252.424,207.162,167.562,132.546,102.577,79.018,58.454,26.388,47.471
0,m,2011,186154,2291,2324,2408,2433,2440,2472,2660,2590,2517,2366,2323,2273,2111,1916,1918,1886,1837,1859,2411,4411,4239,4546,4690,4355,4196,4057,3904,4042,3792,3696,3431,3132,3157,2959,2832,2595,2429,2416,2328,2295,2080,1891,2018,2017,2117,2040,2043,2060,2032,2041,2108,2063,1897,1910,1906,2015,1875,1807,1751,1788,1654,1466,1477,1415,1435,1361,1283,1305,1285,1305,1299,1360,1156,1176,1102,1030,893,789,826,836,759,674,642,547,478,468,390,348,294,288,202.945,166.141,130.098,97.426,71.972,51.897,36.949,25.843,16.963,6.788,9.978
0,w,2011,180631,2140,2241,2256,2296,2239,2427,2423,2243,2273,2200,2192,2055,1997,1903,1961,1816,1795,1913,2163,3544,3371,3848,4286,3783,3786,3681,3712,3619,3543,3331,2987,2963,2806,2499,2512,2444,2359,2281,2359,2098,2015,1937,2005,1935,2036,2023,2087,2030,2097,2061,2121,2068,2066,1991,1944,1909,1864,1850,1710,1647,1614,1603,1536,1478,1402,1455,1330,1328,1447,1370,1470,1477,1247,1280,1292,1234,994,1015,986,951,900,849,862,766,689,612,532,499,524,426,349.611,298.786,252.424,207.162,167.562,132.546,102.577,79.018,58.454,26.388,47.471
0,m,2012,186154,2291,2324,2408,2433,2440,2472,2660,2590,2517,2366,2323,2273,2111,1916,1918,1886,1837,1859,2411,4411,4239,4546,4690,4355,4196,4057,3904,4042,3792,3696,3431,3132,3157,2959,2832,2595,2429,2416,2328,2295,2080,1891,2018,2017,2117,2040,2043,2060,2032,2041,2108,2063,1897,1910,1906,2015,1875,1807,1751,1788,1654,1466,1477,1415,1435,1361,1283,1305,1285,1305,1299,1360,1156,1176,1102,1030,893,789,826,836,759,674,642,547,478,468,390,348,294,288,202.945,166.141,130.098,97.426,71.972,51.897,36.949,25.843,16.963,6.788,9.978
0,w,2012,180631,2140,2241,2256,2296,2239,2427,2423,2243,2273,2200,2192,2055,1997,1903,1961,1816,1795,1913,2163,3544,3371,3848,4286,3783,3786,3681,3712,3619,3543,3331,2987,2963,2806,2499,2512,2444,2359,2281,2359,2098,2015,1937,2005,1935,2036,2023,2087,2030,2097,2061,2121,2068,2066,1991,1944,1909,1864,1850,1710,1647,1614,1603,1536,1478,1402,1455,1330,1328,1447,1370,1470,1477,1247,1280,1292,1234,994,1015,986,951,900,849,862,766,689,612,532,499,524,426,349.611,298.786,252.424,207.162,167.562,132.546,102.577,79.018,58.454,26.388,47.471
0,m,2013,186154,2291,2324,2408,2433,2440,2472,2660,2590,2517,2366,2323,2273,2111,1916,1918,1886,1837,1859,2411,4411,4239,4546,4690,4355,4196,4057,3904,4042,3792,3696,3431,3132,3157,2959,2832,2595,2429,2416,2328,2295,2080,1891,2018,2017,2117,2040,2043,2060,2032,2041,2108,2063,1897,1910,1906,2015,1875,1807,1751,1788,1654,1466,1477,1415,1435,1361,1283,1305,1285,1305,1299,1360,1156,1176,1102,1030,893,789,826,836,759,674,642,547,478,468,390,348,294,288,202.945,166.141,130.098,97.426,71.972,51.897,36.949,25.843,16.963,6.788,9.978
0,w,2013,180631,2140,2241,2256,2296,2239,2427,2423,2243,2273,2200,2192,2055,1997,1903,1961,1816,1795,1913,2163,3544,3371,3848,4286,3783,3786,3681,3712,3619,3543,3331,2987,2963,2806,2499,2512,2444,2359,2281,2359,2098,2015,1937,2005,1935,2036,2023,2087,2030,2097,2061,2121,2068,2066,1991,1944,1909,1864,1850,1710,1647,1614,1603,1536,1478,1402,1455,1330,1328,1447,1370,1470,1477,1247,1280,1292,1234,994,1015,986,951,900,849,862,766,689,612,532,499,524,426,349.611,298.786,252.424,207.162,167.562,132.546,102.577,79.018,58.454,26.388,47.471
0,m,2014,186154,2291,2324,2408,2433,2440,2472,2660,2590,2517,2366,2323,2273,2111,1916,1918,1886,1837,1859,2411,4411,4239,4546,4690,4355,4196,4057,3904,4042,3792,3696,3431,3132,3157,2959,2832,2595,2429,2416,2328,2295,2080,1891,2018,2017,2117,2040,2043,2060,2032,2041,2108,2063,1897,1910,1906,2015,1875,1807,1751,1788,1654,1466,1477,1415,1435,1361,1283,1305,1285,1305,1299,1360,1156,1176,1102,1030,893,789,826,836,759,674,642,547,478,468,390,348,294,288,202.945,166.141,130.098,97.426,71.972,51.897,36.949,25.843,16.963,6.788,9.978
0,w,2014,180631,2140,2241,2256,2296,2239,2427,2423,2243,2273,2200,2192,2055,1997,1903,1961,1816,1795,1913,2163,3544,3371,3848,4286,3783,3786,3681,3712,3619,3543,3331,2987,2963,2806,2499,2512,2444,2359,2281,2359,2098,2015,1937,2005,1935,2036,2023,2087,2030,2097,2061,2121,2068,2066,1991,1944,1909,1864,1850,1710,1647,1614,1603,1536,1478,1402,1455,1330,1328,1447,1370,1470,1477,1247,1280,1292,1234,994,1015,986,951,900,849,862,766,689,612,532,499,524,426,349.611,298.786,252.424,207.162,167.562,132.546,102.577,79.018,58.454,26.388,47.471
